No,Gh id,Station Name,Latitude,Longitude,Elevation,ELID,Year,Month,Total Rainfall
1,ARABOM11,Abomsa,8.467,39.833,1630.0,PRECIP,2022,8,135.3
2,ARKULU11,KULUMSA,10.577,34.354,723.0,PRECIP,2022,8,86.5
3,ARROBE21,ARISE ROBE,7.876,39.622,2441.0,PRECIP,2022,8,127.4
4,BAADAB43,Adaba,7.017,39.407,2420.0,PRECIP,2022,8,488.2
5,BADELL11,DOLOMENA,6.417,39.833,1313.0,PRECIP,2022,8,17.7
6,BADINS13,Dinsho,7.104,39.784,3073.0,PRECIP,2022,8,348.3
7,BADODO43,Dodola,7.617,38.983,2565.0,PRECIP,2022,8,183.9
8,BAGOBA53,Goba,7.03,39.98,2614.0,PRECIP,2022,8,147.3
9,BAJARA14,Jara,7.45,40.767,1960.0,PRECIP,2022,8,188.3
10,BAROBE22,Robe,7.876,39.622,2441.0,PRECIP,2022,8,217.8
11,GGARBA12,Arba Minch,6.057,37.558,1207.0,PRECIP,2022,8,93.3
12,GGJINK11,Jinka,5.767,36.55,1373.0,PRECIP,2022,8,102.4
13,GGKONS11,KONSO,5.333,37.433,1431.0,PRECIP,2022,8,15.9
14,GGMIRA21,MIERAB ABAYA,6.28,37.77,1221.0,PRECIP,2022,8,98.3
15,GGSAWU31,SAWULA,6.305,36.841,1348.0,PRECIP,2022,8,115.3
16,GGTERC21,TERCHA,7.149,37.168,1335.0,PRECIP,2022,8,221.6
17,GNAYKE11,AYKEL,12.54,37.059,2254.0,PRECIP,2022,8,385.0
18,GNDEBA11,DEBARK,13.142,37.898,2836.0,PRECIP,2022,8,288.3
19,GNDEBR31,D/TABOR,11.867,37.995,2612.0,PRECIP,2022,8,379.2
20,GNGOND12,Gondar A.P.,12.521,37.432,1973.0,PRECIP,2022,8,255.7
21,GNMETE11,METEMA,12.775,36.414,790.0,PRECIP,2022,8,261.1
22,GNNEFA11,Nefasmewucha,11.73,38.468,3098.0,PRECIP,2022,8,303.8
23,GNSHAH11,SHAHURA,11.929,36.874,2205.0,PRECIP,2022,8,358.4
24,GOAYEH21,AYEHU,10.661,36.793,1771.0,PRECIP,2022,8,389.4
