No,Gh id,Station Name,Latitude,Longitude,Elevation,ELID,Year,Month,Mean Maximum Temperature
1,ARABOM11,Abomsa,8.467,39.833,1630.0,TMPMAX,2022,8,27.613
2,ARKULU11,KULUMSA,10.577,34.354,723.0,TMPMAX,2022,8,21.339
3,ARROBE21,ARISE ROBE,7.876,39.622,2441.0,TMPMAX,2022,8,20.71
4,BADELL11,DOLOMENA,6.417,39.833,1313.0,TMPMAX,2022,8,26.723
5,BAJARA14,Jara,7.45,40.767,1960.0,TMPMAX,2022,8,23.745
6,BAROBE22,Robe,7.876,39.622,2441.0,TMPMAX,2022,8,21.063
7,GGARBA12,Arba Minch,6.057,37.558,1207.0,TMPMAX,2022,8,28.813
8,GGJINK11,Jinka,5.767,36.55,1373.0,TMPMAX,2022,8,25.574
9,GGKONS11,KONSO,5.333,37.433,1431.0,TMPMAX,2022,8,27.029
10,GGMIRA21,MIERAB ABAYA,6.28,37.77,1221.0,TMPMAX,2022,8,27.697
11,GGSAWU31,SAWULA,6.305,36.841,1348.0,TMPMAX,2022,8,27.261
12,GGTERC21,TERCHA,7.149,37.168,1335.0,TMPMAX,2022,8,26.852
13,GNAYKE11,AYKEL,12.54,37.059,2254.0,TMPMAX,2022,8,19.568
14,GNDEBA11,DEBARK,13.142,37.898,2836.0,TMPMAX,2022,8,17.113
15,GNDEBR31,D/TABOR,11.867,37.995,2612.0,TMPMAX,2022,8,18.768
16,GNGOND12,Gondar A.P.,12.521,37.432,1973.0,TMPMAX,2022,8,23.403
17,GNMETE11,METEMA,12.775,36.414,790.0,TMPMAX,2022,8,29.768
18,GNNEFA11,Nefasmewucha,11.73,38.468,3098.0,TMPMAX,2022,8,15.758
19,GNSHAH11,SHAHURA,11.929,36.874,2205.0,TMPMAX,2022,8,20.258
20,GOAYEH21,AYEHU,10.661,36.793,1771.0,TMPMAX,2022,8,25.261
21,GOBAHI12,Bahir Dar Met,11.595,37.385,1800.0,TMPMAX,2022,8,24.713
22,GOCHAG11,CHAGINI,10.974,36.499,1614.0,TMPMAX,2022,8,24.297
23,GODANG11,DANGLA,11.434,36.846,2116.0,TMPMAX,2022,8,21.426
24,GODEBR12,DEBEREMARKOS,10.326,37.739,2446.0,TMPMAX,2022,8,19.484
25,GODEBR21,DEBRAWREK,10.651,38.162,2508.0,TMPMAX,2022,8,19.084
26,GOMOTT11,MOTTA,11.074,37.89,2417.0,TMPMAX,2022,8,19.816
27,GOYETN21,YITNORA,10.245,38.108,2420.0,TMPMAX,2022,8,18.477
28,HAAISH21,AYSHA,10.757,42.578,721.0,TMPMAX,2022,8,38.942
29,HAALEM11,ALEMAYA,9.4,42.033,2020.0,TMPMAX,2022,8,23.529
30,HAAWAS31,AWASH ARBA,9.141,40.159,826.0,TMPMAX,2022,8,35.5
31,HADIRE12,Dire Dawa,9.967,42.533,1180.0,TMPMAX,2022,8,32.865
32,HAGELE11,Gelemso,8.809,40.525,1739.0,TMPMAX,2022,8,25.819
33,HAGEWA11,Gewane,10.15,40.633,568.0,TMPMAX,2022,8,36.039
34,HAGODE22,Gode,5.9,43.58,290.0,TMPMAX,2022,8,37.567
35,HAHARA31,HARER,9.3,42.083,1977.0,TMPMAX,2022,8,23.997
36,HAJIJI11,JIJIGA,9.333,42.783,1775.0,TMPMAX,2022,8,28.097
