No,Gh id,Station Name,Latitude,Longitude,Elevation,ELID,Year,Month,Mean Minimum Temperature
1,ARABOM11,Abomsa,8.467,39.833,1630.0,TMPMIN,2022,8,17.139
2,ARKULU11,KULUMSA,10.577,34.354,723.0,TMPMIN,2022,8,12.952
3,ARROBE21,ARISE ROBE,7.876,39.622,2441.0,TMPMIN,2022,8,11.642
4,BADELL11,DOLOMENA,6.417,39.833,1313.0,TMPMIN,2022,8,14.2
5,BAJARA14,Jara,7.45,40.767,1960.0,TMPMIN,2022,8,13.1
6,BAROBE22,Robe,7.876,39.622,2441.0,TMPMIN,2022,8,10.035
7,GGARBA12,Arba Minch,6.057,37.558,1207.0,TMPMIN,2022,8,18.158
8,GGJINK11,Jinka,5.767,36.55,1373.0,TMPMIN,2022,8,17.148
9,GGKONS11,KONSO,5.333,37.433,1431.0,TMPMIN,2022,8,17.323
10,GGMIRA21,MIERAB ABAYA,6.28,37.77,1221.0,TMPMIN,2022,8,18.681
11,GGSAWU31,SAWULA,6.305,36.841,1348.0,TMPMIN,2022,8,18.055
12,GGTERC21,TERCHA,7.149,37.168,1335.0,TMPMIN,2022,8,17.571
13,GNAYKE11,AYKEL,12.54,37.059,2254.0,TMPMIN,2022,8,12.41
14,GNDEBA11,DEBARK,13.142,37.898,2836.0,TMPMIN,2022,8,9.794
15,GNDEBR31,D/TABOR,11.867,37.995,2612.0,TMPMIN,2022,8,10.294
16,GNGOND12,Gondar A.P.,12.521,37.432,1973.0,TMPMIN,2022,8,14.613
17,GNMETE11,METEMA,12.775,36.414,790.0,TMPMIN,2022,8,20.132
18,GNNEFA11,Nefasmewucha,11.73,38.468,3098.0,TMPMIN,2022,8,8.552
19,GNSHAH11,SHAHURA,11.929,36.874,2205.0,TMPMIN,2022,8,12.935
20,GOAYEH21,AYEHU,10.661,36.793,1771.0,TMPMIN,2022,8,12.645
21,GOBAHI12,Bahir Dar Met,11.595,37.385,1800.0,TMPMIN,2022,8,14.03
22,GOCHAG11,CHAGINI,10.974,36.499,1614.0,TMPMIN,2022,8,15.455
23,GODANG11,DANGLA,11.434,36.846,2116.0,TMPMIN,2022,8,12.961
24,GODEBR12,DEBEREMARKOS,10.326,37.739,2446.0,TMPMIN,2022,8,11.426
25,GODEBR21,DEBRAWREK,10.651,38.162,2508.0,TMPMIN,2022,8,11.787
26,GOMOTT11,MOTTA,11.074,37.89,2417.0,TMPMIN,2022,8,12.303
27,GOYETN21,YITNORA,10.245,38.108,2420.0,TMPMIN,2022,8,11.577
28,HAAISH21,AYSHA,10.757,42.578,721.0,TMPMIN,2022,8,23.006
29,HAALEM11,ALEMAYA,9.4,42.033,2020.0,TMPMIN,2022,8,13.6
30,HAAWAS31,AWASH ARBA,9.141,40.159,826.0,TMPMIN,2022,8,20.903
31,HADIRE12,Dire Dawa,9.967,42.533,1180.0,TMPMIN,2022,8,20.239
32,HAGELE11,Gelemso,8.809,40.525,1739.0,TMPMIN,2022,8,15.168
